date,1. open,5. volume,2. high,4. close,3. low
2012-05-18,42.05,573576400.0,45.0,38.2318,38.0
2012-05-21,36.53,168192700.0,36.66,34.03,33.0
2012-05-22,32.61,101786600.0,33.59,31.0,30.94
2012-05-23,31.37,73600000.0,32.5,32.0,31.36
2012-05-24,32.95,50237200.0,33.21,33.03,31.77
2012-05-25,32.9,37149800.0,32.95,31.91,31.11
2012-05-29,31.48,78063400.0,31.69,28.84,28.65
2012-05-30,28.695,57267900.0,29.55,28.19,27.86
2012-05-31,28.545,111639200.0,29.67,29.6,26.83
2012-06-01,28.892,41855500.0,29.15,27.72,27.39
2012-06-04,27.2,35230300.0,27.65,26.9,26.44
2012-06-05,26.7,42473400.0,27.76,25.869,25.75
2012-06-06,26.07,61489200.0,27.17,26.81,25.52
2012-06-07,27.0,26159500.0,27.35,26.31,26.15
2012-06-08,26.55,38034000.0,27.76,27.1,26.44
2012-06-11,27.18,28219600.0,28.07,27.005,26.835
2012-06-12,27.48,15816800.0,27.77,27.4,26.96
2012-06-13,27.66,17102800.0,28.1,27.27,27.1
2012-06-14,27.65,16855000.0,28.32,28.29,27.38
2012-06-15,28.505,43563800.0,30.1,30.014,28.35
2012-06-18,29.955,42978900.0,32.08,31.41,29.41
2012-06-19,31.535,30849000.0,32.18,31.911,30.7
2012-06-20,31.92,15553600.0,31.9288,31.6,31.15
2012-06-21,31.67,21875300.0,32.5,31.84,31.51
2012-06-22,32.41,74834000.0,33.45,33.05,32.06
2012-06-25,32.86,24352900.0,33.02,32.06,31.55
2012-06-26,32.69,24858700.0,33.44,33.1,32.5
2012-06-27,32.46,28568000.0,32.9,32.23,31.9
2012-06-28,31.96,17713300.0,32.19,31.36,30.9
2012-06-29,31.92,19526900.0,31.99,31.095,30.76
2012-07-02,31.25,14122000.0,31.73,30.771,30.55
2012-07-03,30.91,8763600.0,31.44,31.2,30.8
2012-07-05,31.32,10032100.0,31.625,31.47,31.02
2012-07-06,31.44,10945600.0,31.9,31.73,31.26
2012-07-09,32.1,17785200.0,32.88,32.17,31.99
2012-07-10,32.43,14269500.0,32.48,31.47,31.1599
2012-07-11,31.48,13030300.0,31.56,30.97,30.55
