date,1. open,5. volume,2. high,4. close,3. low
2017-07-05,40.8,5883326.0,40.82,37.25,37.25
2017-07-06,38.09,5088097.0,38.09,37.01,36.52
2017-07-07,38.14,6014535.0,38.59,37.91,36.12
2017-07-10,37.63,4721508.0,38.17,37.23,36.8
2017-07-11,37.31,2791176.0,37.78,37.35,36.89
2017-07-12,37.77,3260591.0,37.99,37.37,37.25
2017-07-13,37.45,3860643.0,37.65,36.84,36.69
2017-07-14,37.0,2872910.0,37.495,37.35,36.91
2017-07-17,37.71,3917588.0,38.37,37.64,37.64
2017-07-18,37.52,3198593.0,37.78,36.75,36.73
2017-07-19,36.59,4230853.0,37.09,36.54,36.36
2017-07-20,36.59,6397004.0,36.9,34.97,34.86
2017-07-21,34.73,7737292.0,34.88,34.12,33.44
2017-07-24,34.26,2850884.0,34.46,34.36,33.88
2017-07-25,34.81,2871897.0,35.28,35.25,34.77
2017-07-26,35.58,3826003.0,36.18,36.05,35.22
2017-07-27,35.97,4593651.0,37.04,36.16,35.7
2017-07-28,34.85,4261445.0,37.5,37.1,34.2257
2017-07-31,37.14,3318805.0,37.17,36.89,36.43
2017-08-01,35.42,2955189.0,35.54,35.23,35.06
2017-08-02,35.36,3405697.0,35.55,35.35,35.035
2017-08-03,35.26,3181029.0,35.51,35.31,35.07
2017-08-04,35.42,3110626.0,35.54,35.23,35.06
2017-08-07,35.1,2054097.0,35.27,34.56,34.4
2017-08-08,34.75,2155678.0,35.47,34.94,34.6442
2017-08-09,34.79,2252626.0,35.29,35.02,34.76
2017-08-10,35.01,1971691.0,35.29,34.7,34.57
2017-08-11,34.51,1185973.0,34.89,34.29,34.28
2017-08-14,34.51,1927835.0,34.54,34.26,34.135
2017-08-15,34.03,2153221.0,34.42,34.31,34.03
2017-08-16,34.37,1367515.0,34.51,33.83,33.76
2017-08-17,33.79,2200268.0,34.09,32.8,32.75
2017-08-18,32.74,3179783.0,33.13,32.77,32.4301
2017-08-21,32.77,2340815.0,32.99,32.54,32.46
2017-08-22,32.62,1872479.0,32.945,32.69,32.43
2017-08-23,32.51,1565407.0,33.24,33.04,32.51
2017-08-24,33.09,1781949.0,33.09,32.82,32.54
2017-08-25,32.88,2035870.0,33.41,33.26,32.8701
2017-08-28,33.27,2510523.0,33.4,33.25,32.82
2017-08-29,33.1,2192874.0,33.81,33.75,33.1
2017-08-30,33.6,1637279.0,33.73,33.51,33.2376
2017-08-31,33.99,3592925.0,34.35,33.9,33.46
2017-09-01,33.97,1723282.0,34.44,34.3,33.73
2017-09-05,34.83,4386834.0,35.45,34.97,34.49
2017-09-06,35.39,3285802.0,35.74,34.74,34.72
2017-09-07,34.77,2064761.0,35.25,34.75,34.29
2017-09-08,34.77,3018954.0,34.98,34.42,34.06
2017-09-11,34.52,2825224.0,35.6,35.48,34.37
2017-09-12,35.38,3537032.0,36.4,35.96,35.24
2017-09-13,35.94,4296996.0,36.73,36.09,35.9
2017-09-14,36.35,4785692.0,37.14,36.38,36.2
2017-09-15,36.37,7621328.0,36.91,36.9,36.37
2017-09-18,36.91,3251876.0,37.49,37.36,36.78
2017-09-19,37.31,2958567.0,37.45,37.39,37.06
2017-09-20,37.55,2138025.0,37.68,37.5,37.24
2017-09-21,37.17,2565040.0,37.26,36.58,36.365
2017-09-22,36.53,3587582.0,36.74,36.67,36.28
2017-09-25,36.85,4722920.0,38.1,37.52,36.63
2017-09-26,37.34,2621187.0,37.34,37.04,36.6597
2017-09-27,37.1,1991726.0,37.2,36.93,36.69
2017-09-28,37.12,2119848.0,37.24,37.03,36.56
2017-09-29,36.8,3244297.0,37.05,36.62,36.32
2017-10-02,35.96,1906955.0,36.91,36.86,35.92
2017-10-03,36.84,2465816.0,37.1,36.67,36.39
2017-10-04,36.75,1970215.0,37.09,36.71,36.53
2017-10-05,36.84,1901599.0,36.92,36.48,36.46
2017-10-06,36.16,1826297.0,36.71,36.53,36.04
2017-10-09,36.59,3157903.0,36.67,35.84,35.8
2017-10-10,36.06,4200133.0,36.23,34.97,34.92
2017-10-11,34.81,4178147.0,34.9,34.39,34.23
2017-10-12,34.14,4645410.0,34.3,33.92,33.78
2017-10-13,34.26,2853566.0,34.6,33.73,33.71
2017-10-16,34.04,2891032.0,34.225,33.7,33.641
2017-10-17,33.64,4621612.0,34.07,33.79,33.3
2017-10-18,33.84,2626085.0,34.26,33.8,33.75
2017-10-19,33.55,4573949.0,33.89,33.15,33.05
2017-10-20,32.01,7142298.0,33.43,33.26,31.44
2017-10-23,33.1,5762277.0,33.26,31.47,31.4
2017-10-24,31.56,4114200.0,31.66,30.69,30.63
2017-10-25,30.7,4168498.0,30.86,30.05,30.0
2017-10-26,30.12,2594872.0,30.34,29.94,29.73
2017-10-27,29.79,4619981.0,31.31,31.3,29.62
2017-10-30,31.18,4545491.0,31.77,31.5,31.09
2017-10-31,31.29,3136367.0,31.53,31.43,31.0504
2017-11-01,31.75,3125507.0,32.34,31.85,31.56
2017-11-02,31.79,3894079.0,32.17,31.28,31.095
2017-11-03,30.91,4534328.0,31.46,31.18,30.8511
2017-11-06,31.55,8114101.0,33.98,33.92,31.54
2017-11-07,34.04,4435277.0,34.08,33.4,33.31
2017-11-08,33.24,3370157.0,33.72,32.84,32.79
2017-11-09,32.69,3857358.0,32.95,32.74,32.19
2017-11-10,32.65,2400842.0,33.14,32.95,32.4
2017-11-13,32.74,3664950.0,32.79,31.88,31.84
2017-11-14,31.46,6303303.0,31.75,30.51,29.95
2017-11-15,29.85,4624683.0,30.83,30.6,29.62
2017-11-16,30.61,3926933.0,31.15,30.15,30.11
2017-11-17,30.2,2689424.0,31.02,30.91,30.16
2017-11-20,30.92,3925683.0,30.92,30.44,30.31
2017-11-21,30.55,3346073.0,30.99,30.66,30.55
2017-11-22,30.75,3295023.0,31.13,30.71,30.6
2017-11-24,30.78,1314053.0,31.11,30.8,30.5999
2017-11-27,30.67,2496497.0,30.8,30.31,30.18
2017-11-28,30.2,4188487.0,30.37,30.08,29.99
2017-11-29,30.03,4887853.0,30.3,29.98,29.9
2017-11-30,30.02,11606444.0,30.63,29.73,29.695
2017-12-01,30.04,10795403.0,30.83,30.7,29.83
2017-12-04,30.7,7927222.0,32.59,31.71,30.595
2017-12-05,31.75,4479038.0,31.99,30.81,30.75
2017-12-06,30.65,4477402.0,31.17,30.51,30.29
2017-12-07,30.52,3668150.0,31.1,30.37,30.3
2017-12-08,30.55,4519560.0,30.8,30.26,30.07
2017-12-11,30.25,6731879.0,30.69,30.59,30.21
2017-12-12,30.68,5889048.0,31.66,30.95,30.59
2017-12-13,30.9,5384630.0,31.02,30.33,30.09
2017-12-14,30.24,7625132.0,30.84,30.59,30.02
2017-12-15,30.61,8529367.0,30.84,30.26,30.1
2017-12-18,30.48,6013378.0,31.225,31.03,30.33
2017-12-19,31.18,5851103.0,32.091,31.83,30.86
2017-12-20,31.86,4425770.0,32.88,32.74,31.81
2017-12-21,32.9,6188646.0,33.12,32.3,32.29
2017-12-22,32.0,2629036.0,32.46,32.23,31.49
